vre602,cd,ss,sh,cc,ed,mu,ext,address,white,black,hispanic,asian,other,total,,,,,,,,,,,,,,,,,,,
10F,005,038,053,4,5,10,00866,"Berean Seventh Day Advent. Church 291 Hamilton E Holmes Dr
Split (03S, 10F)","19
1","964
22","8
0","2
0","133
7","1,126
30",,,,,,,,,,,,,,,,,,,
10G,005,038,056,6,5,10,00867,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)","28
3","1,069
23","4
0","2
0","152
4","1,255
30",,,,,,,,,,,,,,,,,,,
10H1,005,038,053,6,5,10,00873,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)","6
4","357
12","7
0","0
0","48
4","418
20",,,,,,,,,,,,,,,,,,,
10H2,005,038,055,6,5,10,00865,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)","44
1","2,112
81","28
0","8
0","294
13","2,486
95",,,,,,,,,,,,,,,,,,,
10I,005,038,057,6,5,10,00868,"West Manor Park 3240 West Manor Cir
Split (10B, 10I)","5
0","271
9","4
0","0
0","42
2","322
11",,,,,,,,,,,,,,,,,,,
10J,005,038,056,4,5,10,00869,Westside Community Church 2114 Martin Luther King Jr Dr,"31
2","944
32","12
1","1
0","179
6","1,167
41",,,,,,,,,,,,,,,,,,,
10K,005,039,057,4,5,10,00870,"Beecher Hills Elementary School 2257 Bollingbrook Dr SW
Split (10K, 11H)","82
2","1,212
41","15
0","6
0","199
10","1,514
53",,,,,,,,,,,,,,,,,,,
10M,005,039,057,4,5,10,00870,"Mcghee, Joseph Tennis Center 820 Beecher Ct","288
22","2,031
72","16
4","11
1","376
13","2,722
112",,,,,,,,,,,,,,,,,,,
10P,005,038,053,4,5,10,00866,Collier Park Recreation Center 3691 Collier Dr NW,"28
3","1,297
36","7
1","6
0","182
4","1,520
44",,,,,,,,,,,,,,,,,,,
10R,005,038,053,6,5,10,00873,Concord Baptist Church 3270 Boulder Park Dr SW,"12
0","711
18","8
0","2
0","91
1","824
19",,,,,,,,,,,,,,,,,,,
11B,005,038,055,5,6,11,00520,Ralph Bunche Middle School 1925 Niskey Lake Rd Sw,"83
1","4,380
175","22
0","9
0","588
33","5,082
209",,,,,,,,,,,,,,,,,,,
11C,005,038,055,6,6,11,00874,Fickett School 3935 Rux Rd,"50
3","2,572
77","10
2","7
0","363
22","3,002
104",,,,,,,,,,,,,,,,,,,
11E1,005,038,061,5,6,11,00962,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)","18
0","1,092
50","9
0","1
0","143
14","1,263
64",,,,,,,,,,,,,,,,,,,
11E2,005,039,055,5,6,11,00877,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)","22
2","785
20","7
0","2
0","99
5","915
27",,,,,,,,,,,,,,,,,,,
11E3,005,039,061,5,6,11,00875,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)","73
12","2,772
164","53
3","24
2","486
25","3,408
206",,,,,,,,,,,,,,,,,,,
11G,005,039,058,5,6,11,00529,"Adams Park Library
2231 Campbellton Rd SW
Split (11G, 12I, 12L)","74
4","2,062
97","16
0","3
0","258
31","2,413
132",,,,,,,,,,,,,,,,,,,
11H,005,039,057,4,6,11,00878,"Beecher Hills Elementary School 2257 Bollingbrook Dr SW
Split (10K, 11H)","24
1","580
16","9
0","1
0","102
4","716
21",,,,,,,,,,,,,,,,,,,
11J,005,039,060,5,6,11,00974,Continental Colony Elementary School 3181 Hogan Rd,"36
0","1,727
58","8
1","3
1","227
6","2,001
66",,,,,,,,,,,,,,,,,,,
11K,005,039,058,4,6,11,00880,Cascade Elementary School 2326 Venetian Dr Sw,"95
4","1,587
37","6
0","2
0","248
12","1,938
53",,,,,,,,,,,,,,,,,,,
11M,005,039,055,4,6,11,00881,"Therrell, D.M. High School 3099 Panther Trail Sw
Split (11M, 11N, 11R)","66
6","2,812
114","22
2","8
0","415
16","3,323
138",,,,,,,,,,,,,,,,,,,
11N,005,039,055,5,6,11,00877,"Therrell, D.M. High School 3099 Panther Trail Sw
Split (11M, 11N, 11R)","28
1","1,985
52","7
0","4
0","289
12","2,313
65",,,,,,,,,,,,,,,,,,,
11P,005,039,055,5,6,11,00877,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)","39
2","1,708
77","10
0","1
0","255
17","2,013
96",,,,,,,,,,,,,,,,,,,
11R,005,039,058,4,6,11,00880,"Therrell, D.M. High School 3099 Panther Trail Sw
Split (11M, 11N, 11R)","41
0","1,703
86","7
1","3
0","248
9","2,002
96",,,,,,,,,,,,,,,,,,,
12A,005,036,058,5,6,12,00531,"Metropolitan Library
1332 Metropolitan Pkway Sw","813
47","3,615
165","72
2","39
0","721
59","5,260
273",,,,,,,,,,,,,,,,,,,
12D,005,036,060,5,6,12,00885,"Perkerson Park Rec Center 770 Deckner Ave
Split (12D, 12G)","65
4","1,086
72","12
2","3
0","183
16","1,349
94",,,,,,,,,,,,,,,,,,,
12E1,005,036,059,5,6,12,00882,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)","100
4","1,371
78","36
1","19
0","218
14","1,744
97",,,,,,,,,,,,,,,,,,,
12F,005,036,059,5,6,12,00882,"Dobbs Elementary School 2025 Jonesboro Rd Se
Split (01C, 01S, 12F)","75
4","884
25","27
0","6
0","164
9","1,156
38",,,,,,,,,,,,,,,,,,,
12G,005,036,059,5,6,12,00882,"Perkerson Park Rec Center 770 Deckner Ave
Split (12D, 12G)","41
5","671
28","12
0","5
0","115
5","844
38",,,,,,,,,,,,,,,,,,,
12H1,005,036,059,5,6,12,00882,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)","55
3","905
56","16
0","8
2","118
9","1,102
70",,,,,,,,,,,,,,,,,,,
12H2,005,036,060,5,6,12,00885,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)","78
1","2,401
102","22
1","3
0","361
13","2,865
117",,,,,,,,,,,,,,,,,,,
12I,005,039,058,5,6,12,00886,"Adams Park Library
2231 Campbellton Rd SW
Split (11G, 12I, 12L)","15
1","872
44","4
0","2
0","122
9","1,015
54",,,,,,,,,,,,,,,,,,,
12J,005,036,060,5,6,12,00885,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)","68
3","2,417
127","20
0","8
1","349
20","2,862
151",,,,,,,,,,,,,,,,,,,
12K,005,036,057,5,6,12,00887,"Pittman Park Rec Center 950 Garibaldi St
Split (12K, 12N)","420
40","2,398
121","47
5","33
2","488
30","3,386
198",,,,,,,,,,,,,,,,,,,
12L,005,036,058,5,6,12,00531,"Adams Park Library
2231 Campbellton Rd SW
Split (11G, 12I, 12L)","21
3","601
39","4
0","0
0","93
3","719
45",,,,,,,,,,,,,,,,,,,
12M,005,036,060,5,6,12,00885,South Atlanta High School 800 Hutchens Rd,"75
7","2,365
96","25
0","4
0","327
12","2,796
115",,,,,,,,,,,,,,,,,,,
12N,005,036,058,5,6,12,00531,"Pittman Park Rec Center 950 Garibaldi St
Split (12K, 12N)","58
3","838
30","11
1","3
0","127
7","1,037
41",,,,,,,,,,,,,,,,,,,
12S,005,036,058,5,6,12,00531,"Louise Watley Library at Southeast Atlanta 1463 Pryor Road Sw
Split (01J, 12S)","68
7","1,569
129","15
0","7
1","257
30","1,916
167",,,,,,,,,,,,,,,,,,,
AP01A,006,056,049,1,2,LRG,00745,"New Prospect Elementary 3055 Kimball Bridge Rd
Split (AP01A, AP01B)","2,903
213","418
47","115
11","660
31","856
52","4,952
354",,,,,,,,,,,,,,,,,,,
AP01B,006,056,049,1,1,LRG,00730,"New Prospect Elementary 3055 Kimball Bridge Rd
Split (AP01A, AP01B)","663
74","163
26","48
4","60
11","168
33","1,102
148",,,,,,,,,,,,,,,,,,,
AP01C,006,056,049,1,5,LRG,00731,"Haynes Bridge Middle School 10665 Haynes Bridge Rd
Split (AP01C, AP01D)","1,441
92","198
11","107
2","172
5","336
32","2,254
142",,,,,,,,,,,,,,,,,,,
AP01D,006,056,049,1,7,LRG,00732,"Haynes Bridge Middle School 10665 Haynes Bridge Rd
Split (AP01C, AP01D)","551
73","165
24","36
8","35
5","140
34","927
144",,,,,,,,,,,,,,,,,,,
AP021,006,056,049,2,2,LRG,00734,"Wills Recreation Center 11925 Wills Rd
Split (AP021, AP022, AP02B)","2,156
112","381
32","76
4","141
7","464
30","3,218
185",,,,,,,,,,,,,,,,,,,
AP022,006,056,049,2,1,LRG,00737,"Wills Recreation Center 11925 Wills Rd
Split (AP021, AP022, AP02B)","1,367
98","315
15","140
6","150
5","372
31","2,344
155",,,,,,,,,,,,,,,,,,,
AP02B,006,056,048,2,1,LRG,00735,"Wills Recreation Center 11925 Wills Rd
Split (AP021, AP022, AP02B)","370
22","59
1","21
3","35
0","109
3","594
29",,,,,,,,,,,,,,,,,,,
AP03,006,056,048,2,1,LRG,00735,"Mimosa Elementary School 1550 Warsaw Rd
Split (AP03, RW07A, RW07B)","189
37","297
39","91
7","5
1","148
19","730
103",,,,,,,,,,,,,,,,,,,
AP04A,006,056,047,2,1,LRG,00736,"Alpharetta Crabapple Government Center 12624 Broadwell Rd
Split (AP04A, AP04B, AP06)","1,177
72","89
3","44
2","99
0","250
16","1,659
93",,,,,,,,,,,,,,,,,,,
AP04B,006,056,047,2,2,LRG,00738,"Alpharetta Crabapple Government Center 12624 Broadwell Rd
Split (AP04A, AP04B, AP06)","292
13","18
1","10
0","53
0","66
3","439
17",,,,,,,,,,,,,,,,,,,
AP05,006,021,049,1,2,LRG,00739,Windward Fire Station 3070 Market Place,"2,878
192","362
16","137
5","461
13","682
38","4,520
264",,,,,,,,,,,,,,,,,,,
AP06,006,021,049,2,2,LRG,00740,"Alpharetta Crabapple Government Center 12624 Broadwell Rd
Split (AP04A, AP04B, AP06)","1,415
70","55
8","55
1","86
1","246
10","1,857
90",,,,,,,,,,,,,,,,,,,
AP07A,006,021,049,2,2,LRG,00740,"Manning Oaks Elementary School 405 Cumming St
Split (AP07A, AP07B, ML06A)","2,325
146","419
29","138
4","172
8","616
58","3,670
245",,,,,,,,,,,,,,,,,,,
AP07B,006,021,047,2,2,LRG,00741,"Manning Oaks Elementary School 405 Cumming St
Split (AP07A, AP07B, ML06A)","1,077
55","129
3","67
3","202
1","291
17","1,766
79",,,,,,,,,,,,,,,,,,,
AP09A,006,021,049,1,2,LRG,00739,"Webb Bridge Middle School 4455 Webb Bridge Rd
Split (AP09A, AP09B)","2,395
189","393
40","139
8","509
19","696
68","4,132
324",,,,,,,,,,,,,,,,,,,
AP09B,006,048,049,1,2,LRG,00743,"Webb Bridge Middle School 4455 Webb Bridge Rd
Split (AP09A, AP09B)","369
17","106
4","29
0","170
6","183
9","857
36",,,,,,,,,,,,,,,,,,,
AP10,006,021,049,2,2,LRG,00740,Alpharetta Library 10 Park Plaza,"805
36","25
2","13
0","26
0","99
12","968
50",,,,,,,,,,,,,,,,,,,
AP12A,006,021,049,1,2,LRG,00739,"Alpharetta High School 3595 Webb Bridge Rd
Split (AP12A, AP12B, AP12C)","331
37","123
17","57
6","39
4","128
23","678
87",,,,,,,,,,,,,,,,,,,
AP12B,006,021,047,1,2,LRG,00744,"Alpharetta High School 3595 Webb Bridge Rd
Split (AP12A, AP12B, AP12C)","304
37","193
28","45
2","111
9","174
24","827
100",,,,,,,,,,,,,,,,,,,
AP12C,006,021,049,2,2,LRG,00740,"Alpharetta High School 3595 Webb Bridge Rd
Split (AP12A, AP12B, AP12C)","1,403
116","192
17","63
7","57
2","282
42","1,997
184",,,,,,,,,,,,,,,,,,,
AP14,006,056,049,1,5,LRG,00731,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)","2,029
129","206
8","65
2","298
5","467
29","3,065
173",,,,,,,,,,,,,,,,,,,
CH01,013,028,065,6,4,01,00950,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)","71
8","208
7","12
0","0
0","54
2","345
17",,,,,,,,,,,,,,,,,,,
CH02,013,028,065,6,4,02,00951,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)","181
2","77
0","4
0","0
0","45
2","320
4",,,,,,,,,,,,,,,,,,,
CH03,013,028,065,6,4,03,00952,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)","271
6","75
2","5
0","1
0","46
1","398
9",,,,,,,,,,,,,,,,,,,
CH04A,013,028,065,6,4,04,00954,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)","569
35","36
0","10
0","1
1","111
6","727
42",,,,,,,,,,,,,,,,,,,
CH05,013,028,065,6,4,05,00955,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)","334
13","29
2","2
0","0
1","51
1","416
17",,,,,,,,,,,,,,,,,,,
CP011,005,036,062,6,3,1,00742,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)","350
16","716
26","33
3","7
0","167
10","1,273
55",,,,,,,,,,,,,,,,,,,
CP012,005,036,062,6,6,1,00749,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)","371
14","789
19","22
0","20
1","212
12","1,414
46",,,,,,,,,,,,,,,,,,,
CP01B,005,036,060,6,3,1,00747,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)","144
8","192
10","13
0","10
0","48
2","407
20",,,,,,,,,,,,,,,,,,,
CP02,005,036,060,6,3,3,00942,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)","205
10","716
32","21
3","14
0","179
7","1,135
52",,,,,,,,,,,,,,,,,,,
CP04A,005,036,060,6,6,1,01025,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)","1
0","7
0","0
0","0
0","4
0","12
0",,,,,,,,,,,,,,,,,,,
CP04B,005,036,060,6,6,2,00751,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)","2
0","32
1","0
0","0
0","1
1","35
2",,,,,,,,,,,,,,,,,,,
CP051,005,036,064,6,6,4,00753,"Camp Truitt Senior Center 4320 Herschel Rd Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",69      7,1388     50,33     1,8     0,206     15,1704     73,,,,,,,,,,,,,,,,,,,
CP05B,005,036,063,6,6,4,00752,"Camp Truitt Senior Center 4320 Herschel Rd Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",4     0,130     7,1     0,0     0,21     0,156     7,,,,,,,,,,,,,,,,,,,
CP06A,005,036,063,6,6,2,00754,"Camp Truitt Senior Center 4320 Herschel Rd Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",22     1,561     28,9     0,3     1,90     4,685     34,,,,,,,,,,,,,,,,,,,
CP07B,005,036,063,6,6,2,00943,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",0     0,2     1,0     0,0     0,5     0,7     1,,,,,,,,,,,,,,,,,,,
CP07C,005,036,064,5,6,4,00889,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",4    1,230     14,0     0,  1       0,36     3,271     18,,,,,,,,,,,,,,,,,,,
CP07D,005,036,064,6,6,4,00753,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",22     4,660     44,8     0,1     0,91     7,782     55,,,,,,,,,,,,,,,,,,,
CP07E,005,036,064,5,6,4,00889,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",6     0,88     9,0     0,0     0,18     0,112     9,,,,,,,,,,,,,,,,,,,
CP07F,005,036,064,6,6,4,00753,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",9     0,191     13,5     2,0     0,30     1,235     16,,,,,,,,,,,,,,,,,,,
CP081,013,039,063,6,6,2,01024,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)","7
1","298
28","0
0","4
0","45
4","354
33",,,,,,,,,,,,,,,,,,,
CP083,013,039,063,6,6,3,00965,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)","4
0","178
20","2
0","0
0","25
5","209
25",,,,,,,,,,,,,,,,,,,
CP084,013,039,063,6,6,2,01024,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)","0
0","2
0","0
0","0
0","0
0","2
0",,,,,,,,,,,,,,,,,,,
CP08A,013,039,063,6,6,3,00965,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)","15
2","615
49","3
0","3
0","82
4","718
55",,,,,,,,,,,,,,,,,,,
EP01A,005,039,060,5,6,A,00978,"East Point First Mallalieu UMC 2651 Church St
Split (EP01A, EP01B)","585
40","1,689
84","98
1","12
0","436
21","2,820
146",,,,,,,,,,,,,,,,,,,
EP01B,005,039,060,5,3,A,00979,"East Point First Mallalieu UMC 2651 Church St
Split (EP01A, EP01B)","372
22","2,343
105","115
4","9
1","447
26","3,286
158",,,,,,,,,,,,,,,,,,,
EP02A,005,036,059,6,3,B,00760,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)","163
8","1,698
81","72
4","7
5","278
21","2,218
119",,,,,,,,,,,,,,,,,,,
EP02B,005,036,059,5,3,B,00929,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)","590
40","666
31","49
1","16
3","224
17","1,545
92",,,,,,,,,,,,,,,,,,,
EP02C,005,036,060,6,3,B,00971,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)","143
15","217
13","17
1","4
0","78
8","459
37",,,,,,,,,,,,,,,,,,,
EP02D,005,039,060,5,3,B,00986,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)","16
1","272
22","2
0","0
0","49
5","339
28",,,,,,,,,,,,,,,,,,,
EP02E,005,036,060,5,3,B,00987,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)","180
12","1,122
62","37
2","3
0","213
15","1,555
91",,,,,,,,,,,,,,,,,,,
EP03A,005,039,060,5,6,C,00980,"St. Stephens Miss. Baptist Church 2670 Hogan Rd
Split (EP03A, EP03B)","320
21","3,569
118","194
5","18
3","543
27","4,644
174",,,,,,,,,,,,,,,,,,,
EP03B,005,039,062,5,6,C,00897,"St. Stephens Miss. Baptist Church 2670 Hogan Rd
Split (EP03A, EP03B)","82
8","1,206
31","37
0","5
0","169
3","1,499
42",,,,,,,,,,,,,,,,,,,
EP04A,005,039,062,5,6,D,00765,"Brookview Elememtary Sch 3250 Hammarskjold Dr
Split (EP04A, EP04B)","176
9","4,910
278","83
6","25
3","776
68","5,970
364",,,,,,,,,,,,,,,,,,,
EP04B,013,039,062,5,6,D,00766,"Brookview Elememtary Sch 3250 Hammarskjold Dr
Split (EP04A, EP04B)","77
4","1,941
94","36
1","9
0","332
15","2,395
114",,,,,,,,,,,,,,,,,,,
FA01A,013,035,065,6,4,LRG,00767,"First Baptist Church of Fairburn 23 Malone St SE
Split (FA01A, FA01B)","350
22","2,798
120","139
8","21
0","516
25","3,824
175",,,,,,,,,,,,,,,,,,,
FA01B,013,035,065,6,4,LRG,00767,"First Baptist Church of Fairburn 23 Malone St SE
Split (FA01A, FA01B)","643
60","3,831
162","185
13","42
5","883
43","5,584
283",,,,,,,,,,,,,,,,,,,
FA01C,013,035,064,6,4,LRG,00768,Harvest Rain Church 8567 Bohannon Rd,"27
1","518
18","22
0","11
0","108
3","686
22",,,,,,,,,,,,,,,,,,,
FC01,005,038,061,6,4,,00784,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)","6
1","268
30","4
0","0
0","37
7","315
38",,,,,,,,,,,,,,,,,,,
FC02,005,038,061,6,4,,00784,Aviation Community Cultural Center 3900 Aviation Cir Nw,"64
4","367
23","11
0","7
0","130
7","579
34",,,,,,,,,,,,,,,,,,,
FC03,005,038,061,6,4,,00784,"Sandtown Park Recreation Center 5320 Campbellton Rd
Split (FC03, SC16A)","0
0","12
1","0
0","0
0","2
0","14
1",,,,,,,,,,,,,,,,,,,
HP01,005,036,059,6,3,LRG,00975,Hoyt Smith Center 3444 N Fulton Ave,"1,112
67","1,572
83","221
6","116
1","516
24","3,537
181",,,,,,,,,,,,,,,,,,,
JC01,006,048,050,1,5,LRG,00770,Shakerag Elementary School 10885 Rogers Circle,"2,089
131","482
26","128
6","1,786
53","993
59","5,478
275",,,,,,,,,,,,,,,,,,,
JC02,006,048,050,1,5,LRG,00770,"Northview High School 10625 Parsons Road
Split (JC02, JC06)","1,098
98","311
34","93
3","720
25","478
45","2,700
205",,,,,,,,,,,,,,,,,,,
JC03A,006,048,025,1,5,LRG,00771,"Findley Oaks Elementary School 5880 Findley Chase Drive
Split (JC03A, JC03B)","291
17","61
3","22
2","75
6","110
4","559
32",,,,,,,,,,,,,,,,,,,
JC03B,006,048,050,1,5,LRG,00770,"Findley Oaks Elementary School 5880 Findley Chase Drive
Split (JC03A, JC03B)","599
54","200
13","62
3","361
9","280
30","1,502
109",,,,,,,,,,,,,,,,,,,
JC04A,006,048,025,1,5,LRG,00771,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)","1,818
132","218
11","72
2","417
18","436
36","2,961
199",,,,,,,,,,,,,,,,,,,
JC04B,006,048,049,1,2,LRG,00773,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)","131
11","40
1","11
1","58
1","58
7","298
21",,,,,,,,,,,,,,,,,,,
JC04C,006,048,025,1,2,LRG,01028,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)","612
55","152
5","48
1","142
8","195
20","1,149
89",,,,,,,,,,,,,,,,,,,
JC05,006,048,050,1,5,LRG,00770,Abbotts Hill Elementary School 5575 Abbotts Bridge Road,"1,212
87","278
16","98
4","293
10","372
21","2,253
138",,,,,,,,,,,,,,,,,,,
JC06,006,048,050,1,5,LRG,00770,"Northview High School 10625 Parsons Road
Split (JC02, JC06)","1,309
143","328
17","72
7","512
25","453
44","2,674
236",,,,,,,,,,,,,,,,,,,
JC07,006,048,050,1,5,LRG,00770,Wilson Creek Elementary Sch 6115 Wilson Rd,"1,840
143","476
33","121
9","1,162
46","737
61","4,336
292",,,,,,,,,,,,,,,,,,,
JC08,006,048,050,1,5,LRG,00770,"Taylor Road Middle School 5150 Taylor Road
Split (JC08, JC09)","1,624
101","256
20","117
6","350
14","457
34","2,804
175",,,,,,,,,,,,,,,,,,,
JC09,006,048,050,1,5,LRG,00770,"Taylor Road Middle School 5150 Taylor Road
Split (JC08, JC09)","1,564
117","415
23","175
6","398
17","521
49","3,073
212",,,,,,,,,,,,,,,,,,,
JC10,006,048,050,1,5,LRG,00770,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)","1,307
112","362
23","156
13","255
15","441
44","2,521
207",,,,,,,,,,,,,,,,,,,
JC11,006,048,050,1,5,LRG,00770,Johns Creek High School 5575 State Bridge Rd,"1,984
146","319
15","85
5","373
23","487
32","3,248
221",,,,,,,,,,,,,,,,,,,
JC12,006,048,050,1,5,LRG,00770,"Dolvin Elementary School 10495 Jones Bridge Road
Split (JC12, JC14)","1,679
90","167
6","31
1","343
5","378
20","2,598
122",,,,,,,,,,,,,,,,,,,
JC13A,006,056,095,1,5,LRG,00774,"Autry Mill Middle School 4110 Old Alabama Road
Split (JC13A, JC13B)","1,534
66","101
5","39
1","202
2","313
15","2,189
89",,,,,,,,,,,,,,,,,,,
JC13B,006,048,050,1,5,LRG,00770,"Autry Mill Middle School 4110 Old Alabama Road
Split (JC13A, JC13B)","203
10","4
0","1
0","15
0","42
0","265
10",,,,,,,,,,,,,,,,,,,
JC14,006,056,050,1,5,LRG,00776,"Dolvin Elementary School 10495 Jones Bridge Road
Split (JC12, JC14)","1,514
123","152
2","54
2","401
15","383
37","2,504
179",,,,,,,,,,,,,,,,,,,
JC15,006,056,049,1,5,LRG,00777,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)","420
24","126
5","91
0","67
4","167
15","871
48",,,,,,,,,,,,,,,,,,,
JC16,006,056,049,1,5,LRG,00777,Prince Of Peace Lutheran Church 10250 Haynes Bridge Road,"1,719
112","200
9","109
3","166
7","378
32","2,572
163",,,,,,,,,,,,,,,,,,,
JC18,006,056,051,1,7,LRG,00778,"Hillside Elem School 9250 Scott Rd
Split (JC18, RW22A)","2,000
81","195
6","57
4","136
8","363
19","2,751
118",,,,,,,,,,,,,,,,,,,
JC19,006,056,051,1,7,LRG,00778,"Johns Creek Environmental Campus 8100 Holcomb Bridge Rd
Split (JC19, RW21, SS01)","2,521
153","476
25","137
8","201
9","590
52","3,925
247",,,,,,,,,,,,,,,,,,,
ML01A,006,056,047,2,2,LRG,01030,"Milton Library 855 Mayfield Rd
Split (ML01A, ML01B)","1,740
110","104
2","63
3","279
7","385
24","2,571
146",,,,,,,,,,,,,,,,,,,
